Date,Emp_ID,Emp_Name,Model,Line,Stage,Stage_Criticality,Units_Checked,Total_Errors,Defect_Rate,Pass_Ratio,Error_Std_Dev,Critical_Exposure,Suitability_Score
2026-01-14,1001,Anuj,Prado NA,BE-08,Camera,Critical,1960,3,0.0015,0.998,0.47,61,90.27
2026-01-11,1007,Neha,Prado NA,BE-07,Camera,Critical,2108,3,0.0014,0.998,0.75,33,85.13
2026-01-15,1009,Kiran,Innova,BE-08,RF Cable,Critical,1813,2,0.0011,0.999,0.38,100,94.45
2026-01-11,1007,Neha,Innova,BE-07,Camera,Critical,1725,2,0.0012,0.998,1.16,115,87.89
2026-01-10,1001,Anuj,Innova,BE-08,Cosmetic,Normal,1686,1,0.0006,0.999,1.06,19,80.94
2026-01-10,1010,Maya,Prado NA,BE-08,PCB,Critical,2214,0,0,1,0.29,42,90.6
2026-01-10,1008,Saurabh,Prado NA,BE-07,PCB,Critical,2156,2,0.0009,0.999,0.97,72,86.23
2026-01-14,1002,Kajal,Prado NA,BE-08,Cosmetic,Normal,1667,1,0.0006,0.999,0.34,78,93.05
2026-01-11,1010,Maya,Innova,BE-09,Battery,Semi-Critical,1600,1,0.0006,0.999,0.14,8,89.21
2026-01-10,1009,Kiran,Prado EU,BE-08,Inner VI,Semi-Critical,1578,1,0.0006,0.999,0.1,30,91.45
2026-01-12,1001,Anuj,Innova,BE-07,Camera,Critical,1979,3,0.0015,0.998,0.97,67,85.76
2026-01-10,1007,Neha,Prado NA,BE-08,Camera,Critical,1854,4,0.0022,0.997,0.89,5,81.35
2026-01-15,1006,Shubham,Innova,BE-07,Camera,Critical,1699,3,0.0018,0.997,0.65,94,91.19
2026-01-15,1010,Maya,Fortuner,BE-08,PCB,Critical,1800,1,0.0006,0.999,0.47,6,85.76
2026-01-13,1001,Anuj,Fortuner,BE-08,Battery,Semi-Critical,2229,2,0.0009,0.999,0.15,32,91.1
2026-01-15,1010,Maya,Innova,BE-09,PCB,Critical,1586,2,0.0013,0.998,0.18,63,93.35
2026-01-11,1008,Saurabh,Fortuner,BE-09,Camera,Critical,2011,3,0.0015,0.998,1.08,26,81.25
2026-01-14,1006,Shubham,Innova,BE-07,Cosmetic,Normal,1872,1,0.0005,0.999,0.41,31,88.44
2026-01-10,1007,Neha,Innova,BE-09,RF Cable,Critical,1568,1,0.0006,0.999,0.85,41,84.87
2026-01-11,1006,Shubham,Fortuner,BE-07,PCB,Critical,1653,0,0,1,0.67,76,89.63
2026-01-10,1003,Ritesh,Innova,BE-08,Cosmetic,Normal,2002,2,0.001,0.999,0.06,21,91.07
2026-01-15,1003,Ritesh,Prado NA,BE-08,PCB,Critical,2279,0,0,1,0.85,89,88.92
2026-01-12,1005,Puja,Innova,BE-07,RF Cable,Critical,2141,0,0,1,0.22,55,92.38
2026-01-13,1009,Kiran,Prado NA,BE-08,Camera,Critical,2019,1,0.0005,0.999,0.98,116,89.83
2026-01-10,1006,Shubham,Prado EU,BE-08,Camera,Critical,2160,1,0.0005,0.999,0.47,13,86.34
2026-01-12,1006,Shubham,Prado EU,BE-08,Cosmetic,Normal,2200,1,0.0005,0.999,0.01,21,91.61
2026-01-12,1008,Saurabh,Prado EU,BE-07,RF Cable,Critical,1765,2,0.0011,0.999,0.55,37,87.5
2026-01-11,1004,Rishi,Prado EU,BE-07,Battery,Semi-Critical,1797,0,0,1,0.92,36,83.8
2026-01-16,1007,Neha,Fortuner,BE-07,Camera,Critical,1556,0,0,1,0.14,68,94.27
2026-01-11,1005,Puja,Prado NA,BE-08,Camera,Critical,2029,0,0,1,0.74,55,87.18
2026-01-16,1002,Kajal,Fortuner,BE-07,Cosmetic,Normal,2265,0,0,1,0.44,14,86.77
2026-01-11,1002,Kajal,Innova,BE-09,Camera,Critical,1717,3,0.0017,0.997,0.55,23,86.27
2026-01-11,1006,Shubham,Prado EU,BE-08,PCB,Critical,1639,1,0.0006,0.999,1.1,9,79.7
2026-01-11,1003,Ritesh,Prado NA,BE-07,Inner VI,Semi-Critical,1758,2,0.0011,0.999,0.02,32,92.38
2026-01-16,1006,Shubham,Fortuner,BE-08,Battery,Semi-Critical,1757,0,0,1,1.02,80,86.47
2026-01-16,1009,Kiran,Innova,BE-09,Inner VI,Semi-Critical,1896,2,0.0011,0.999,0.37,110,95.39
2026-01-14,1004,Rishi,Fortuner,BE-07,Inner VI,Semi-Critical,2209,1,0.0005,0.999,0.05,97,97.55
2026-01-16,1001,Anuj,Prado NA,BE-08,RF Cable,Critical,1986,1,0.0005,0.999,0.92,72,86.76
2026-01-13,1009,Kiran,Fortuner,BE-09,Battery,Semi-Critical,2101,2,0.001,0.999,1.1,58,83.76
2026-01-14,1005,Puja,Fortuner,BE-09,Camera,Critical,1725,5,0.0029,0.996,0.84,76,87.71
2026-01-13,1010,Maya,Prado EU,BE-09,RF Cable,Critical,1876,1,0.0005,0.999,0.29,14,88.22
2026-01-11,1002,Kajal,Innova,BE-09,Battery,Semi-Critical,1780,1,0.0006,0.999,0.77,57,87
2026-01-13,1009,Kiran,Fortuner,BE-07,Camera,Critical,1604,2,0.0012,0.998,0.35,84,93.4
2026-01-15,1002,Kajal,Prado EU,BE-08,Camera,Critical,2012,1,0.0005,0.999,0.07,39,92.51
2026-01-11,1007,Neha,Prado NA,BE-09,Camera,Critical,2060,2,0.001,0.999,0.7,91,90.51
2026-01-15,1008,Saurabh,Fortuner,BE-08,RF Cable,Critical,2109,3,0.0014,0.998,0.53,84,91.58
2026-01-16,1004,Rishi,Prado EU,BE-09,RF Cable,Critical,1713,4,0.0023,0.997,0.87,48,85.12
2026-01-10,1006,Shubham,Prado EU,BE-07,Inner VI,Semi-Critical,1583,0,0,1,0.62,83,90.72
2026-01-12,1003,Ritesh,Prado NA,BE-09,Cosmetic,Normal,1544,0,0,1,0.36,56,91.07
2026-01-11,1009,Kiran,Prado NA,BE-07,Battery,Semi-Critical,1616,0,0,1,0.41,14,87.07
2026-01-10,1007,Neha,Fortuner,BE-07,Inner VI,Semi-Critical,1893,0,0,1,0.85,25,83.58
2026-01-16,1007,Neha,Fortuner,BE-07,Cosmetic,Normal,1584,1,0.0006,0.999,0.02,66,95.25
2026-01-10,1008,Saurabh,Prado EU,BE-07,Cosmetic,Normal,1670,0,0,1,0.01,82,96.73
2026-01-11,1001,Anuj,Innova,BE-07,Battery,Semi-Critical,1877,0,0,1,1.09,75,85.35
2026-01-16,1008,Saurabh,Prado EU,BE-07,Cosmetic,Normal,1871,1,0.0005,0.999,0.17,22,90.09
2026-01-16,1003,Ritesh,Fortuner,BE-07,PCB,Critical,1692,3,0.0018,0.997,0.43,113,94.97
2026-01-14,1002,Kajal,Prado EU,BE-09,Inner VI,Semi-Critical,1683,2,0.0012,0.998,1.09,85,86.09
2026-01-10,1003,Ritesh,Prado NA,BE-09,Cosmetic,Normal,2202,3,0.0014,0.998,0.83,23,83.51
2026-01-10,1002,Kajal,Prado NA,BE-08,Inner VI,Semi-Critical,2257,1,0.0004,0.999,0.2,106,96.8
2026-01-15,1004,Rishi,Fortuner,BE-09,Inner VI,Semi-Critical,1695,2,0.0012,0.998,0.73,21,84.35
2026-01-12,1003,Ritesh,Innova,BE-07,PCB,Critical,2140,2,0.0009,0.999,0.95,90,87.93
2026-01-16,1004,Rishi,Fortuner,BE-08,PCB,Critical,2224,1,0.0004,0.999,0.01,66,95.37
2026-01-16,1002,Kajal,Fortuner,BE-08,Cosmetic,Normal,1526,3,0.002,0.997,1.11,38,81.91
2026-01-13,1006,Shubham,Prado EU,BE-09,RF Cable,Critical,2010,2,0.001,0.999,0.66,18,84.82
2026-01-16,1004,Rishi,Fortuner,BE-09,PCB,Critical,1911,2,0.001,0.999,0.88,42,84.62
2026-01-15,1008,Saurabh,Fortuner,BE-09,PCB,Critical,1500,1,0.0007,0.999,0.85,46,85.28
2026-01-16,1002,Kajal,Prado EU,BE-08,Camera,Critical,2085,3,0.0014,0.998,1.02,107,88.61
2026-01-14,1002,Kajal,Prado EU,BE-09,Cosmetic,Normal,1544,1,0.0006,0.999,0.04,54,94.05
2026-01-16,1003,Ritesh,Prado NA,BE-08,Cosmetic,Normal,1573,0,0,1,0.58,21,85.95
2026-01-15,1004,Rishi,Fortuner,BE-09,Camera,Critical,1730,3,0.0017,0.998,0.61,25,85.85
2026-01-10,1003,Ritesh,Fortuner,BE-07,RF Cable,Critical,1823,1,0.0005,0.999,0.32,112,96.09
2026-01-10,1004,Rishi,Prado NA,BE-08,Cosmetic,Normal,1640,0,0,1,0.38,103,94.78
2026-01-16,1009,Kiran,Innova,BE-09,Inner VI,Semi-Critical,1679,0,0,1,1.04,26,81.77
2026-01-10,1003,Ritesh,Prado NA,BE-08,RF Cable,Critical,1943,4,0.0021,0.997,0.73,78,89.03
2026-01-16,1003,Ritesh,Innova,BE-07,RF Cable,Critical,2016,2,0.001,0.999,0.86,71,87.24
2026-01-10,1007,Neha,Fortuner,BE-09,Inner VI,Semi-Critical,1565,1,0.0006,0.999,0.06,84,96.35
2026-01-13,1007,Neha,Prado NA,BE-09,PCB,Critical,2056,2,0.001,0.999,0.97,90,87.72
2026-01-15,1001,Anuj,Prado NA,BE-07,Inner VI,Semi-Critical,2083,2,0.001,0.999,0.04,42,93.02
2026-01-15,1003,Ritesh,Prado EU,BE-09,Camera,Critical,2090,0,0,1,0.95,101,88.92
2026-01-16,1002,Kajal,Prado NA,BE-07,Battery,Semi-Critical,2013,1,0.0005,0.999,0.78,57,86.91
2026-01-16,1010,Maya,Fortuner,BE-08,Inner VI,Semi-Critical,1627,2,0.0012,0.998,0.99,57,84.75
2026-01-14,1003,Ritesh,Fortuner,BE-09,PCB,Critical,2075,2,0.001,0.998,0.32,68,92.38
2026-01-15,1001,Anuj,Prado EU,BE-09,Cosmetic,Normal,1941,0,0,1,0.49,106,93.93
2026-01-12,1004,Rishi,Prado EU,BE-09,RF Cable,Critical,1610,2,0.0012,0.998,1.18,29,80.52
2026-01-11,1003,Ritesh,Prado EU,BE-08,Camera,Critical,1709,0,0,1,0.99,13,81.18
2026-01-15,1010,Maya,Prado EU,BE-07,Camera,Critical,1575,2,0.0013,0.998,1.18,9,78.84
2026-01-10,1005,Puja,Fortuner,BE-07,Inner VI,Semi-Critical,1845,1,0.0005,0.999,0.15,20,90.12
2026-01-11,1003,Ritesh,Prado EU,BE-08,Battery,Semi-Critical,1546,2,0.0013,0.998,0.8,42,85.4
2026-01-12,1006,Shubham,Prado EU,BE-09,Cosmetic,Normal,1716,1,0.0006,0.999,0.23,25,89.74
2026-01-11,1005,Puja,Prado NA,BE-08,Battery,Semi-Critical,1763,2,0.0011,0.998,0.11,30,91.31
2026-01-14,1004,Rishi,Fortuner,BE-08,Battery,Semi-Critical,1864,0,0,1,0.71,108,91.9
2026-01-14,1006,Shubham,Prado EU,BE-07,Cosmetic,Normal,1872,0,0,1,0.72,92,90.47
2026-01-14,1003,Ritesh,Innova,BE-07,PCB,Critical,1719,4,0.0023,0.997,0.37,77,92.53
2026-01-14,1007,Neha,Prado EU,BE-08,Camera,Critical,1925,1,0.0005,0.999,0.69,74,89.22
2026-01-15,1010,Maya,Prado NA,BE-09,Camera,Critical,2098,4,0.0019,0.998,0.52,113,94.07
2026-01-10,1003,Ritesh,Fortuner,BE-09,Cosmetic,Normal,1830,0,0,1,0.06,81,96.15
2026-01-16,1010,Maya,Prado NA,BE-08,RF Cable,Critical,2035,2,0.001,0.999,0.28,20,88.79
2026-01-16,1001,Anuj,Innova,BE-09,Camera,Critical,1614,3,0.0019,0.997,1.09,54,83.44
2026-01-13,1007,Neha,Fortuner,BE-08,RF Cable,Critical,2215,2,0.0009,0.999,1.09,75,85.28
2026-01-13,1005,Puja,Prado NA,BE-09,Battery,Semi-Critical,2299,1,0.0004,0.999,0.36,58,91.2
2026-01-14,1009,Kiran,Fortuner,BE-07,Camera,Critical,2094,1,0.0005,0.999,0.77,105,91.01
2026-01-10,1002,Kajal,Fortuner,BE-09,Camera,Critical,1963,4,0.002,0.997,0.05,89,96.76
2026-01-11,1003,Ritesh,Innova,BE-08,PCB,Critical,1978,2,0.001,0.999,1.18,103,86.7
2026-01-13,1003,Ritesh,Fortuner,BE-07,Battery,Semi-Critical,2013,0,0,1,1.09,20,80.77
2026-01-11,1007,Neha,Innova,BE-07,Cosmetic,Normal,2258,0,0,1,0.12,36,91.8
2026-01-14,1005,Puja,Prado NA,BE-08,Inner VI,Semi-Critical,1861,1,0.0005,0.999,0.32,61,91.84
2026-01-12,1009,Kiran,Prado EU,BE-09,Cosmetic,Normal,2131,2,0.0009,0.999,0.11,107,97.74
2026-01-11,1003,Ritesh,Fortuner,BE-07,Camera,Critical,1561,1,0.0006,0.999,1.1,24,80.95
2026-01-13,1009,Kiran,Prado EU,BE-07,Cosmetic,Normal,1960,0,0,1,1.16,41,81.82
2026-01-14,1006,Shubham,Innova,BE-08,Inner VI,Semi-Critical,2056,1,0.0005,0.999,0.12,80,95.43
2026-01-10,1009,Kiran,Innova,BE-07,Inner VI,Semi-Critical,2297,0,0,1,0.5,72,91
2026-01-16,1007,Neha,Fortuner,BE-09,Battery,Semi-Critical,2174,1,0.0005,0.999,0.07,68,94.93
2026-01-11,1002,Kajal,Prado NA,BE-08,Camera,Critical,2121,1,0.0005,0.999,1.18,93,85.91
2026-01-14,1007,Neha,Prado EU,BE-09,Cosmetic,Normal,2066,0,0,1,0.76,28,84.73
2026-01-13,1010,Maya,Prado EU,BE-07,PCB,Critical,2215,3,0.0014,0.998,0.11,50,92.96
2026-01-13,1002,Kajal,Fortuner,BE-07,RF Cable,Critical,1754,1,0.0006,0.999,1.15,119,88.37
2026-01-11,1003,Ritesh,Innova,BE-08,Inner VI,Semi-Critical,2218,0,0,1,1.13,100,87.03
2026-01-16,1003,Ritesh,Innova,BE-08,Camera,Critical,2181,2,0.0009,0.999,0.32,20,88.39
2026-01-12,1008,Saurabh,Innova,BE-07,Inner VI,Semi-Critical,1605,2,0.0012,0.998,1.04,37,82.59
2026-01-15,1002,Kajal,Prado EU,BE-08,Camera,Critical,1616,3,0.0019,0.997,0.68,117,92.8
2026-01-15,1006,Shubham,Prado EU,BE-08,Camera,Critical,1715,3,0.0017,0.998,0.3,82,93.7
2026-01-10,1010,Maya,Prado EU,BE-07,Battery,Semi-Critical,1598,2,0.0013,0.998,1.12,89,86.12
2026-01-12,1007,Neha,Prado EU,BE-09,RF Cable,Critical,2020,1,0.0005,0.999,0.85,38,84.62
2026-01-12,1010,Maya,Innova,BE-07,RF Cable,Critical,2258,2,0.0009,0.999,0.21,9,88.58
2026-01-12,1004,Rishi,Prado EU,BE-09,Inner VI,Semi-Critical,1628,3,0.0018,0.998,0.3,52,91.19
2026-01-11,1007,Neha,Prado NA,BE-09,Camera,Critical,1673,2,0.0012,0.998,1.11,84,85.81
2026-01-10,1002,Kajal,Prado EU,BE-09,Camera,Critical,1665,5,0.003,0.996,0.76,22,84
2026-01-14,1005,Puja,Prado NA,BE-09,PCB,Critical,1904,1,0.0005,0.999,0.04,32,92.22
2026-01-10,1008,Saurabh,Prado NA,BE-09,Camera,Critical,2255,2,0.0009,0.999,1.16,73,84.41
2026-01-12,1005,Puja,Fortuner,BE-09,RF Cable,Critical,1846,1,0.0005,0.999,0.77,41,85.67
2026-01-14,1007,Neha,Fortuner,BE-07,PCB,Critical,1629,1,0.0006,0.999,0.72,62,87.92
2026-01-11,1005,Puja,Prado EU,BE-07,Inner VI,Semi-Critical,1519,1,0.0007,0.999,0.6,36,86.95
2026-01-13,1009,Kiran,Prado EU,BE-07,RF Cable,Critical,2236,2,0.0009,0.999,0.1,39,92.18
2026-01-16,1002,Kajal,Prado NA,BE-08,Cosmetic,Normal,1704,0,0,1,0.75,88,89.83
2026-01-10,1001,Anuj,Prado EU,BE-08,Camera,Critical,1711,1,0.0006,0.999,1.02,43,83.34
2026-01-12,1008,Saurabh,Fortuner,BE-08,Battery,Semi-Critical,2148,0,0,1,0.74,64,87.93
2026-01-16,1004,Rishi,Fortuner,BE-09,PCB,Critical,1824,3,0.0016,0.997,0.71,64,88.1
2026-01-16,1010,Maya,Prado NA,BE-09,Camera,Critical,2040,1,0.0005,0.999,0.98,21,81.91
2026-01-16,1001,Anuj,Fortuner,BE-08,Camera,Critical,1897,3,0.0016,0.998,0.41,37,88.85
2026-01-12,1009,Kiran,Fortuner,BE-08,PCB,Critical,2200,5,0.0023,0.996,0.93,15,81.76
2026-01-10,1001,Anuj,Prado EU,BE-09,RF Cable,Critical,1515,2,0.0013,0.998,0.45,21,87.14
2026-01-15,1004,Rishi,Innova,BE-07,PCB,Critical,1565,0,0,1,0.29,88,94.43
2026-01-16,1007,Neha,Prado EU,BE-09,PCB,Critical,1600,2,0.0013,0.998,0.24,58,92.33
2026-01-14,1010,Maya,Innova,BE-08,RF Cable,Critical,2296,0,0,1,0.59,62,89.27
2026-01-13,1009,Kiran,Innova,BE-08,RF Cable,Critical,1787,0,0,1,1.1,13,80.08
2026-01-16,1010,Maya,Prado NA,BE-09,Cosmetic,Normal,1966,0,0,1,0.46,15,86.65
2026-01-16,1004,Rishi,Prado NA,BE-08,Cosmetic,Normal,2098,0,0,1,0.8,41,85.42
2026-01-12,1010,Maya,Fortuner,BE-08,Battery,Semi-Critical,1629,2,0.0012,0.998,1.02,119,89.62
2026-01-10,1008,Saurabh,Innova,BE-09,Inner VI,Semi-Critical,1638,1,0.0006,0.999,0.58,103,92.73
2026-01-12,1003,Ritesh,Fortuner,BE-08,Inner VI,Semi-Critical,1577,1,0.0006,0.999,0.89,19,82.63
2026-01-13,1005,Puja,Prado EU,BE-07,Battery,Semi-Critical,1871,0,0,1,0.45,8,86.17
2026-01-10,1009,Kiran,Fortuner,BE-07,RF Cable,Critical,1918,0,0,1,0.06,119,99.32
2026-01-11,1002,Kajal,Innova,BE-09,Cosmetic,Normal,1713,0,0,1,0.69,70,88.93
2026-01-15,1001,Anuj,Innova,BE-08,Cosmetic,Normal,1655,1,0.0006,0.999,0.43,92,93.32
2026-01-15,1008,Saurabh,Fortuner,BE-07,Inner VI,Semi-Critical,1779,0,0,1,0,90,97.5
2026-01-12,1002,Kajal,Fortuner,BE-07,Battery,Semi-Critical,1812,2,0.0011,0.998,0.63,110,92.77
2026-01-15,1010,Maya,Prado NA,BE-07,Battery,Semi-Critical,1878,0,0,1,0.06,110,98.57
2026-01-16,1008,Saurabh,Prado EU,BE-07,Battery,Semi-Critical,1974,1,0.0005,0.999,0.62,67,89.34
2026-01-14,1005,Puja,Prado EU,BE-08,Camera,Critical,1506,1,0.0007,0.999,0.13,82,95.48
2026-01-12,1004,Rishi,Fortuner,BE-09,Camera,Critical,1863,3,0.0016,0.998,0.45,24,87.38
2026-01-12,1008,Saurabh,Prado EU,BE-07,RF Cable,Critical,1970,2,0.001,0.999,0.89,52,85.35
2026-01-12,1010,Maya,Fortuner,BE-08,PCB,Critical,2089,0,0,1,0.21,84,94.9
2026-01-14,1004,Rishi,Prado NA,BE-08,RF Cable,Critical,1646,3,0.0018,0.998,1.02,7,80.24
2026-01-11,1002,Kajal,Prado NA,BE-09,Battery,Semi-Critical,2273,0,0,1,0.77,98,90.47
2026-01-12,1002,Kajal,Fortuner,BE-09,Inner VI,Semi-Critical,1724,4,0.0023,0.996,0.65,113,92.72
2026-01-11,1001,Anuj,Prado EU,BE-07,RF Cable,Critical,1999,1,0.0005,0.999,0.52,61,89.84
2026-01-15,1008,Saurabh,Innova,BE-09,RF Cable,Critical,2253,4,0.0018,0.998,0.87,50,85.33
2026-01-16,1003,Ritesh,Prado NA,BE-07,PCB,Critical,1801,2,0.0011,0.999,0.63,112,92.95
2026-01-11,1004,Rishi,Prado NA,BE-07,Cosmetic,Normal,2232,0,0,1,0.87,25,83.38
2026-01-11,1010,Maya,Prado NA,BE-07,Cosmetic,Normal,2259,1,0.0004,0.999,0.51,12,85.87
2026-01-16,1009,Kiran,Fortuner,BE-07,RF Cable,Critical,1511,3,0.002,0.997,0.51,82,91.58
2026-01-15,1008,Saurabh,Innova,BE-09,Cosmetic,Normal,1752,0,0,1,0.77,35,85.22
2026-01-12,1004,Rishi,Innova,BE-09,Battery,Semi-Critical,1579,1,0.0006,0.999,0.32,68,92.41
2026-01-16,1007,Neha,Prado NA,BE-08,Camera,Critical,2073,5,0.0024,0.997,0.29,17,88.32
2026-01-14,1008,Saurabh,Innova,BE-07,PCB,Critical,1775,2,0.0011,0.998,0.81,29,84.23
2026-01-12,1005,Puja,Innova,BE-09,Camera,Critical,1862,0,0,1,0.83,119,91.62
2026-01-13,1007,Neha,Innova,BE-07,Cosmetic,Normal,1979,2,0.001,0.999,0.11,85,95.9
2026-01-12,1001,Anuj,Prado EU,BE-07,Camera,Critical,1703,2,0.0012,0.998,1.03,117,89.36
2026-01-15,1002,Kajal,Prado NA,BE-07,Battery,Semi-Critical,2027,0,0,1,0.39,42,89.6
2026-01-10,1009,Kiran,Innova,BE-08,Battery,Semi-Critical,2101,0,0,1,0.23,83,94.62
2026-01-14,1009,Kiran,Prado EU,BE-07,Camera,Critical,1723,2,0.0012,0.998,0.7,66,88.41
2026-01-12,1010,Maya,Fortuner,BE-07,Battery,Semi-Critical,1585,1,0.0006,0.999,0.09,74,95.22
2026-01-12,1007,Neha,Fortuner,BE-09,PCB,Critical,1813,0,0,1,0.32,68,92.47
2026-01-16,1007,Neha,Prado EU,BE-07,Inner VI,Semi-Critical,2189,2,0.0009,0.999,0.72,118,92.56
2026-01-13,1006,Shubham,Prado EU,BE-07,Cosmetic,Normal,1522,1,0.0007,0.999,0.49,42,88.55
2026-01-16,1001,Anuj,Fortuner,BE-08,RF Cable,Critical,1893,3,0.0016,0.998,1.14,67,84.06
2026-01-15,1006,Shubham,Fortuner,BE-07,Cosmetic,Normal,1878,1,0.0005,0.999,0.75,108,91.46
2026-01-13,1008,Saurabh,Fortuner,BE-09,RF Cable,Critical,1822,2,0.0011,0.999,0.59,22,85.85
2026-01-13,1007,Neha,Prado NA,BE-07,PCB,Critical,1895,0,0,1,0.29,53,91.52
2026-01-10,1004,Rishi,Prado NA,BE-09,PCB,Critical,2138,5,0.0023,0.997,0.34,96,94.41
2026-01-12,1003,Ritesh,Innova,BE-07,Camera,Critical,1728,0,0,1,1.01,75,86.15
2026-01-15,1002,Kajal,Fortuner,BE-07,PCB,Critical,1574,5,0.0032,0.995,0.88,75,87.19
2026-01-12,1005,Puja,Prado NA,BE-09,Camera,Critical,1796,2,0.0011,0.999,0.3,74,93.08
2026-01-16,1007,Neha,Prado NA,BE-09,Camera,Critical,2286,3,0.0013,0.998,1.18,101,86.51
2026-01-10,1006,Shubham,Prado EU,BE-09,Camera,Critical,1509,2,0.0013,0.998,0.01,86,96.96
2026-01-11,1001,Anuj,Innova,BE-08,Cosmetic,Normal,2104,0,0,1,0.71,29,85.32
2026-01-16,1005,Puja,Innova,BE-07,Battery,Semi-Critical,2175,1,0.0005,0.999,0.41,30,88.36
2026-01-10,1008,Saurabh,Innova,BE-07,Battery,Semi-Critical,1648,2,0.0012,0.998,1.11,7,79.39
2026-01-11,1002,Kajal,Prado NA,BE-09,Cosmetic,Normal,2135,1,0.0005,0.999,0.86,9,82.11
2026-01-13,1009,Kiran,Fortuner,BE-07,Cosmetic,Normal,1651,2,0.0012,0.998,1.09,16,80.34
2026-01-13,1001,Anuj,Fortuner,BE-09,PCB,Critical,1840,3,0.0016,0.998,0.15,74,94.54
2026-01-10,1007,Neha,Prado NA,BE-09,RF Cable,Critical,1685,1,0.0006,0.999,0.64,109,92.63
2026-01-10,1010,Maya,Fortuner,BE-08,RF Cable,Critical,2227,0,0,1,0.58,110,93.37
2026-01-12,1004,Rishi,Fortuner,BE-09,Camera,Critical,2215,0,0,1,0.89,75,87.35
2026-01-11,1001,Anuj,Fortuner,BE-08,Inner VI,Semi-Critical,1645,1,0.0006,0.999,0.73,109,91.73
2026-01-11,1006,Shubham,Prado EU,BE-09,RF Cable,Critical,1914,1,0.0005,0.999,0.32,96,94.76
2026-01-11,1009,Kiran,Innova,BE-08,Camera,Critical,1570,1,0.0006,0.999,0.51,88,92.18
2026-01-12,1007,Neha,Prado EU,BE-07,Cosmetic,Normal,2105,0,0,1,0.69,5,83.52
2026-01-11,1004,Rishi,Prado NA,BE-08,Inner VI,Semi-Critical,1970,0,0,1,1.12,24,80.8
2026-01-14,1001,Anuj,Fortuner,BE-08,Cosmetic,Normal,1791,0,0,1,0.16,81,95.15
2026-01-16,1010,Maya,Prado EU,BE-07,Camera,Critical,1835,3,0.0016,0.998,0.64,58,88.3
2026-01-11,1003,Ritesh,Fortuner,BE-08,Battery,Semi-Critical,1637,1,0.0006,0.999,0.96,36,83.35
2026-01-10,1003,Ritesh,Prado EU,BE-08,PCB,Critical,1555,2,0.0013,0.998,0,95,97.82
2026-01-10,1001,Anuj,Fortuner,BE-08,PCB,Critical,2084,1,0.0005,0.999,0.41,13,86.95
2026-01-16,1002,Kajal,Fortuner,BE-07,Battery,Semi-Critical,1798,0,0,1,0.85,115,91.08
2026-01-14,1001,Anuj,Prado NA,BE-07,RF Cable,Critical,2048,2,0.001,0.999,0.94,76,86.85
2026-01-14,1002,Kajal,Fortuner,BE-07,Cosmetic,Normal,1738,1,0.0006,0.999,0.41,8,86.52
2026-01-10,1009,Kiran,Innova,BE-07,Inner VI,Semi-Critical,1901,2,0.0011,0.998,0.95,39,83.66
2026-01-11,1010,Maya,Prado EU,BE-07,PCB,Critical,1541,1,0.0006,0.999,0.49,109,94.13
2026-01-13,1007,Neha,Prado NA,BE-07,Battery,Semi-Critical,1780,0,0,1,1.1,13,80.08
2026-01-13,1001,Anuj,Fortuner,BE-07,RF Cable,Critical,2199,1,0.0005,0.999,1.09,18,80.56
2026-01-13,1008,Saurabh,Fortuner,BE-09,Camera,Critical,2047,0,0,1,0.76,90,89.9
2026-01-11,1008,Saurabh,Prado NA,BE-09,Cosmetic,Normal,1925,0,0,1,0.71,43,86.48
2026-01-13,1005,Puja,Prado NA,BE-07,PCB,Critical,2282,5,0.0022,0.997,0.99,58,84.76
2026-01-12,1001,Anuj,Prado NA,BE-07,Inner VI,Semi-Critical,2091,0,0,1,1.2,113,87.42
2026-01-16,1002,Kajal,Prado NA,BE-08,Inner VI,Semi-Critical,2150,1,0.0005,0.999,0.95,85,87.55
2026-01-12,1008,Saurabh,Fortuner,BE-07,Inner VI,Semi-Critical,2216,0,0,1,0.06,21,91.15
2026-01-12,1002,Kajal,Prado EU,BE-08,Inner VI,Semi-Critical,1631,2,0.0012,0.998,0.96,38,83.46
2026-01-11,1006,Shubham,Prado NA,BE-09,Cosmetic,Normal,2253,1,0.0004,0.999,0.81,76,88.2
2026-01-14,1005,Puja,Innova,BE-07,Battery,Semi-Critical,2019,1,0.0005,0.999,0.13,15,89.91
2026-01-16,1002,Kajal,Prado EU,BE-09,PCB,Critical,1677,0,0,1,1.09,119,89.02
2026-01-14,1004,Rishi,Innova,BE-07,Inner VI,Semi-Critical,1944,1,0.0005,0.999,0.46,23,87.28
2026-01-11,1006,Shubham,Prado EU,BE-07,Inner VI,Semi-Critical,1913,2,0.001,0.999,1.05,35,82.34
2026-01-10,1004,Rishi,Prado NA,BE-09,Inner VI,Semi-Critical,2228,0,0,1,1.15,39,81.75
2026-01-14,1005,Puja,Prado NA,BE-07,Cosmetic,Normal,1981,2,0.001,0.999,0.92,32,83.39
2026-01-12,1009,Kiran,Prado EU,BE-09,Camera,Critical,1938,2,0.001,0.998,0.13,21,90.36
2026-01-10,1009,Kiran,Innova,BE-07,RF Cable,Critical,1784,4,0.0022,0.997,0.38,34,88.87
2026-01-15,1003,Ritesh,Innova,BE-07,Battery,Semi-Critical,1635,1,0.0006,0.999,0.28,21,88.9
